checkin_id,tid,lat_lon,date_time,day,poi_foursquare_id,poi_name,poi_type,poi_price,poi_rating,weather
335678,734,0 0,2012-04-03 15:21:58,Tuesday,4df53b7bd4c01ff6b2f262ec,110 Lawrence Ave Dumont Nj,Residence,-1,-1,Clear
335896,734,0 0,2012-04-03 17:34:50,Tuesday,4df53b7bd4c01ff6b2f262ec,110 Lawrence Ave Dumont Nj,Residence,-1,-1,Clear
335701,443,0 1,2012-04-03 15:38:10,Tuesday,4c4dcaa49efabe9a41cc1569,241 37th St,Professional & Other Places,-1,-1,Clear
336279,354,1 0,2012-04-03 20:08:17,Tuesday,4c2c49f38abca5930e850120,403 Broadway Mini Market Deli,Food,1,5.6,Clear
336090,943,1 1,2012-04-03 18:54:06,Tuesday,4de45622c65b7a3e21485ecf,55 Van Reipen,Residence,-1,-1,Clear
335823,84,0 2,2012-04-03 16:57:42,Tuesday,4bcdc2bf68f976b03abb6483,A Cafe @ lex and 45th,Food,1,-1,Clear
336540,354,1 2,2012-04-03 22:26:25,Tuesday,4c7170dafa49a1cd60e6a8e3,Agape Love International,Shop & Service,-1,-1,Clouds
336335,527,2 0,2012-04-03 20:29:50,Tuesday,4de54677e4cde71744a4fba8,AppNexus,Professional & Other Places,-1,-1,Clouds
336384,84,2 1,2012-04-03 20:51:07,Tuesday,4b16c7c7f964a52057bd23e3,AT&T,Shop & Service,-1,6.3,Clouds
335757,267,2 2,2012-04-03 16:11:54,Tuesday,4b344fb5f964a520eb2625e3,Bay Plaza Shopping Center,Shop & Service,-1,7.7,Clear
335748,734,0 3,2012-04-03 16:07:51,Tuesday,4b983023f964a520a13235e3,Best Buy,Shop & Service,-1,6.1,Clear
336437,768,1 3,2012-04-03 21:18:44,Tuesday,4eab5aa90aafb00bd8f2f41f,Blvd East The Block NYC View,Outdoors & Recreation,-1,-1,Clouds
336198,943,2 3,2012-04-03 19:43:28,Tuesday,3fd66200f964a520dbe31ee3,Bowery Ballroom,Arts & Entertainment,-1,9.2,Clear
336282,529,3 0,2012-04-03 20:09:14,Tuesday,4c2cff8075579521c6555d83,Bronx Martial Arts Academy,Outdoors & Recreation,-1,7.7,Clear
335828,768,3 1,2012-04-03 16:59:34,Tuesday,4cfa8ab0e6f48eec85dc83a4,Buddy's Sports Corner,Shop & Service,-1,-1,Clear
335574,445,3 2,2012-04-03 14:10:39,Tuesday,4b9830a5f964a520c73235e3,C-Town Supermarkets,Shop & Service,-1,-1,Clear
335614,768,3 3,2012-04-03 14:34:00,Tuesday,4e79392ce4cdb158f1cf4b75,Camizzi's Place,Residence,-1,-1,Clear
336278,354,0 4,2012-04-03 20:07:36,Tuesday,4a972370f964a520a12820e3,China Express,Food,1,7.5,Clear
335816,702,1 4,2012-04-03 16:55:45,Tuesday,4ad4a7c0f964a52085e820e3,Chipotle Mexican Grill,Food,1,7.3,Clear
336434,371,2 4,2012-04-03 21:18:02,Tuesday,4e7980b4fa7600c1ffe698fc,Clearview Gardens,Residence,-1,-1,Clouds
335563,484,3 4,2012-04-03 14:04:00,Tuesday,4b5b981bf964a520900929e3,Compare Foods Supermarket,Shop & Service,-1,5.4,Clear
336484,527,4 0,2012-04-03 21:51:18,Tuesday,4e524903fa7687935fb8f0f9,D & F Deli,Food,1,-1,Clouds
335765,445,4 1,2012-04-03 16:21:06,Tuesday,4bae5fb6f964a520b4a93be3,Daily Juice,Food,1,-1,Clear
335835,768,4 2,2012-04-03 17:02:42,Tuesday,4c339a34ed37a5936aa06d03,Disney Store,Shop & Service,-1,-1,Clear
336595,448,4 3,2012-04-03 23:33:14,Tuesday,4b67b670f964a520af5b2be3,Duane Reade,Shop & Service,-1,5.3,Clouds
335736,445,4 3,2012-04-03 16:03:59,Tuesday,4c34e81009a99c7406490c2a,Duane Reade,Shop & Service,-1,5.8,Clear
335926,943,4 4,2012-04-03 17:46:15,Tuesday,4bec4056fd60a5932dba3af1,Eastern Datacomm,Professional & Other Places,-1,-1,Clear
335586,689,0 5,2012-04-03 14:15:05,Tuesday,4c5ef77bfff99c74eda954d3,Eataly NYC,Shop & Service,-1,9.5,Clear
335915,354,1 5,2012-04-03 17:41:59,Tuesday,4abbdc65f964a5203f8520e3,FedEx Office Print & Ship Center,Shop & Service,-1,5.7,Clear
336419,372,2 5,2012-04-03 21:11:32,Tuesday,3fd66200f964a5200ae91ee3,Frames Leisure Time Bowl,Arts & Entertainment,-1,7.2,Clouds
335974,458,3 5,2012-04-03 18:05:19,Tuesday,4e575fe418a802f9c8b815d1,FRESH CREEK BAY,Outdoors & Recreation,-1,-1,Clear
336609,185,4 5,2012-04-03 23:48:10,Tuesday,4d8f74cf1716a143e3ed4af7,Gardner Field,Outdoors & Recreation,-1,-1,Clouds
336599,448,5 0,2012-04-03 23:36:46,Tuesday,4e5efbb8d22d7239c1aaa852,Gate 305,Travel & Transport,-1,-1,Clouds
336537,354,5 1,2012-04-03 22:25:03,Tuesday,4c89479297828cfa7e04a3aa,Good Luck Dry Cleaners,Shop & Service,-1,-1,Clouds
336197,621,5 2,2012-04-03 19:42:46,Tuesday,4c7be24f566db60c98054c0e,Harmon Meadow,Shop & Service,-1,7.0,Clear
335585,443,5 3,2012-04-03 14:14:44,Tuesday,4a676ff4f964a5206fc91fe3,Health Plus,Professional & Other Places,-1,-1,Clear
336522,742,5 4,2012-04-03 22:17:38,Tuesday,4ef7ce55c512f22778e7e0a4,Heat Madness,Residence,-1,-1,Clouds
